transparent [10.099999999511056, 22.700000000440923, 18.499999999221473, 7.400000000416185, 12.899999999717693, 18.90000000003056, 15.800000000126602, 15.000000000327418, 17.600000000129512, 16.29999999931897, 19.29999999993015, 14.200000000528235, 15.900000000328873, 17.599999999220017, 16.80000000033033]
lighting [16.099999999823922, 21.600000000034925, 18.30000000063592, 8.199999999305874, 12.800000000424916, 19.19999999972788, 15.500000000429281, 14.900000000125146, 17.10000000002765, 16.399999999521242, 19.00000000023283, 14.19999999961874, 16.50000000063301, 16.799999999420834, 16.400000000430737]
Clipping  [12.600000000020373, 12.899999999717693, 12.700000000222644, 15.099999999620195, 20.000000000436557, 11.599999999816646, 15.500000000429281, 14.19999999961874, 17.300000000432192, 15.899999999419379, 17.10000000002765, 16.300000000228465, 17.49999999992724, 16.700000000128057, 16.599999999925785]
BubbleTest  [11.000000000422006, 16.700000000128057, 12.09999999991851, 16.300000000228465, 16.399999999521242, 20.40000000033615, 14.500000000225555, 12.09999999991851, 16.29999999931897, 15.800000000126602, 17.600000000129512, 16.499999999723514, 16.50000000063301, 15.599999999722058, 17.79999999962456]
Compressed  [10.300000000825094, 18.199999999524152, 12.300000000323053, 16.200000000026193, 16.399999999521242, 20.300000000133878, 14.900000000125146, 11.599999999816646, 16.599999999925785, 16.300000000228465, 16.200000000026193, 17.10000000002765, 16.200000000026193, 16.700000000128057, 16.700000000128057]
ShadowTest  11.90000000042346, 16.499999999723514, 14.400000000023283, 10.600000000522414, 16.999999999825377, 15.69999999992433, 18.299999999726424, 15.10000000052969, 16.699999999218562, 16.400000000430737, 16.599999999925785, 16.200000000026193, 16.700000000128057, 16.700000000128057, 16.799999999420834]
cube  [12.000000000625732, 15.199999999822467, 9.399999999914144, 15.99999999962165, 16.599999999925785, 20.50000000053842, 15.199999999822467, 10.99999999951251, 17.00000000073487, 15.599999999722058, 16.999999999825377, 16.300000000228465, 17.700000000331784, 14.999999999417923, 17.300000000432192]
cube  AA [11.300000000119326, 15.799999999217107, 12.600000000020373, 16.300000000228465, 16.400000000430737, 20.299999999224383, 15.000000000327418, 11.400000000321597, 16.499999999723514, 16.700000000128057, 15.800000000126602, 17.20000000022992, 15.799999999217107, 16.599999999925785, 17.600000000129512]
light [14.699999999720603, 23.100000000340515, 19.59999999962747, 7.599999999911233, 11.90000000042346, 18.499999999221473, 15.600000000631553, 15.300000000024738, 16.999999999825377, 16.599999999925785, 18.90000000003056, 13.89999999992142, 16.599999999925785, 16.9000000005326, 16.599999999925785]
light AA [15.499999999519787, 21.999999999934516, 17.800000000534055, 7.999999999810825, 13.6000000002241, 18.699999999626016, 16.099999999823922, 15.10000000052969, 16.499999999723514, 16.200000000026193, 18.399999999928696, 15.40000000022701, 16.099999999823922, 16.700000000128057, 16.499999999723514]
texture 1 [14.49999999931606, 23.400000000037835, 19.500000000334694, 7.499999999708962, 12.000000000625732, 18.799999999828287, 15.69999999992433, 14.699999999720603, 16.400000000430737, 17.199999999320426, 18.90000000003056, 14.000000000123691, 16.9000000005326, 16.599999999925785, 16.399999999521242]
texture 2 [11.700000000018917, 17.39999999972497, 13.00000000082946, 16.999999999825377, 20.099999999729334, 11.90000000042346, 16.599999999925785, 14.599999999518332, 16.400000000430737, 16.200000000026193, 16.700000000128057, 16.499999999723514, 16.799999999420834, 16.300000000228465, 17.20000000022992]
simple light 1  [14.000000000123691, 23.500000000240107, 18.199999999524152, 7.599999999911233, 13.500000000021828, 19.200000000637374, 15.099999999620195, 15.599999999722058, 16.60000000083528, 16.399999999521242, 18.90000000003056, 14.299999999821011, 16.700000000128057, 16.700000000128057, 16.499999999723514]
simple light 2  [[12.299999999413558, 17.10000000002765, 12.600000000020373, 17.20000000022992, 19.699999999829743, 12.800000000424916, 15.499999999519787, 14.700000000630098, 16.700000000128057, 16.29999999931897, 17.20000000022992, 16.400000000430737, 16.499999999723514, 16.399999999521242, 17.00000000073487]]
more light [12.09999999991851, 13.399999999819556, 14.100000000325963, 13.699999999516876, 20.099999999729334, 12.300000000323053, 15.500000000429281, 14.799999999922875, 17.199999999320426, 16.50000000063301, 16.999999999825377, 16.300000000228465, 16.699999999218562, 16.000000000531145, 16.999999999825377]
two texture more light [12.700000000222644, 15.300000000024738, 12.200000000120781, 16.999999999825377, 19.800000000032014, 13.800000000628643, 14.400000000023283, 15.099999999620195, 16.300000000228465, 16.999999999825377, 16.099999999823922, 16.999999999825377, 15.69999999992433, 16.80000000033033, 17.10000000002765]
transparent [10.099999999511056, 22.700000000440923, 18.499999999221473, 7.400000000416185, 12.899999999717693, 18.90000000003056, 15.800000000126602, 15.000000000327418, 17.600000000129512, 16.29999999931897, 19.29999999993015, 14.200000000528235, 15.900000000328873, 17.599999999220017, 16.80000000033033]
lighting [16.099999999823922, 21.600000000034925, 18.30000000063592, 8.199999999305874, 12.800000000424916, 19.19999999972788, 15.500000000429281, 14.900000000125146, 17.10000000002765, 16.399999999521242, 19.00000000023283, 14.19999999961874, 16.50000000063301, 16.799999999420834, 16.400000000430737]
Clipping  [12.600000000020373, 12.899999999717693, 12.700000000222644, 15.099999999620195, 20.000000000436557, 11.599999999816646, 15.500000000429281, 14.19999999961874, 17.300000000432192, 15.899999999419379, 17.10000000002765, 16.300000000228465, 17.49999999992724, 16.700000000128057, 16.599999999925785]
BubbleTest  [11.000000000422006, 16.700000000128057, 12.09999999991851, 16.300000000228465, 16.399999999521242, 20.40000000033615, 14.500000000225555, 12.09999999991851, 16.29999999931897, 15.800000000126602, 17.600000000129512, 16.499999999723514, 16.50000000063301, 15.599999999722058, 17.79999999962456]
Compressed  [10.300000000825094, 18.199999999524152, 12.300000000323053, 16.200000000026193, 16.399999999521242, 20.300000000133878, 14.900000000125146, 11.599999999816646, 16.599999999925785, 16.300000000228465, 16.200000000026193, 17.10000000002765, 16.200000000026193, 16.700000000128057, 16.700000000128057]
ShadowTest  11.90000000







